condition,n_aggressor_cores,pf_disabled,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
Q,0,1,33554432,26,81.446,343781248,25626.6,275039,0.0,15598.1,10490.1,0.9768,3598138.3,0.0,10.73
Q,0,1,33554432,27,81.441,343802720,15409.7,165365,0.0,13053.8,6088.4,0.9864,2974711.5,0.0,10.73
Q,0,1,33554432,28,81.443,343796384,33100.8,355236,0.0,23158.8,9444.9,0.979,4150829.0,0.0,10.73
Q,0,1,33554432,29,81.442,343798656,31391.0,337660,0.0,21672.3,10725.4,0.9761,4179937.9,0.0,10.76
R8,8,1,33554432,0,109.381,255993952,74346.9,799284,0.0,412176.5,3054152.0,0.1321,121587855.1,0.0,10.75
R8,8,1,33554432,1,110.813,252683328,185487.4,1994324,0.0,455487.5,3157323.6,0.1291,129096107.3,0.0,10.75
R8,8,1,33554432,2,111.461,251323008,210761.0,2265964,0.0,460015.5,3207621.1,0.1267,131072352.4,0.0,10.75
R8,8,1,33554432,3,110.774,252773760,175171.0,1883470,0.0,451867.7,3156088.3,0.1285,128578415.4,0.0,10.75
R8,8,1,33554432,4,110.748,252832224,188606.5,2027788,0.0,453326.0,3166702.4,0.1276,128997971.7,0.0,10.75
R8,8,1,33554432,5,110.633,253095872,178973.6,1923983,0.0,449561.1,3146756.5,0.1288,128061202.6,0.0,10.75
R8,8,1,33554432,6,110.914,252572640,140005.5,1505497,0.0,432907.6,3117842.6,0.1301,125692545.9,0.0,10.75
R8,8,1,33554432,7,110.755,252819328,173287.7,1863069,0.0,451764.0,3153208.6,0.1296,128293610.8,0.0,10.75
R8,8,1,33554432,8,110.652,253047904,175409.0,1885917,0.0,450735.5,3160051.6,0.128,128319159.3,0.0,10.75
R8,8,1,33554432,9,109.709,255232448,109868.9,1181216,0.0,427432.5,3086022.5,0.1311,123951662.6,0.0,10.75
R8,8,1,33554432,10,109.341,256084160,72217.0,776248,0.0,407984.5,3055846.7,0.1321,121585506.0,0.0,10.75
R8,8,1,33554432,11,110.643,253198112,138701.5,1491146,0.0,435917.4,3140144.9,0.1291,126765178.5,0.0,10.75
R8,8,1,33554432,12,110.763,252797888,175988.5,1892224,0.0,448672.5,3159533.2,0.1294,128190873.0,0.0,10.75
R8,8,1,33554432,13,110.68,252982560,178138.3,1915521,0.0,449971.9,3151667.8,0.1286,128198955.3,0.0,10.75
R8,8,1,33554432,14,109.312,256150304,70724.5,760402,0.0,405023.1,3054506.1,0.1323,121308871.0,0.0,10.75
R8,8,1,33554432,15,109.26,256274240,67438.5,725061,0.0,404534.3,3048722.9,0.1324,120924837.3,0.0,10.75
R8,8,1,33554432,16,111.253,251767584,185106.9,1989836,0.0,453401.3,3201901.7,0.1271,130175923.6,0.0,10.75
R8,8,1,33554432,17,110.726,252882048,180372.3,1939596,0.0,450213.2,3145835.2,0.1297,128154931.1,0.0,10.75
R8,8,1,33554432,18,110.415,253593216,163292.2,1755637,0.0,443877.6,3141652.9,0.1289,127405975.4,0.0,10.75
R8,8,1,33554432,19,109.357,256046240,69095.6,742733,0.0,406847.3,3053651.1,0.1324,121368138.0,0.0,10.75
R8,8,1,33554432,20,109.207,256396480,65134.4,700186,0.0,407972.7,3046711.2,0.1325,120944951.1,0.0,10.75
R8,8,1,33554432,21,110.894,252495264,188926.5,2031493,0.0,459087.2,3163909.2,0.1296,129438275.2,0.0,10.75
